"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-18","5.3",",,W",,,"0.0","T,,W,2400","0.0","T,,W,","0.0","T,,W,",,,"-0.5",",,W","-7.7",",,W",,,"  290",",,W","  280",",,W","9.8",",,W","15.7",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-19","4.9",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0","T,,W,",,,"-2.1",",,W","-8.8",",,W",,,"  280",",,W","  280",",,W","8.9",",,W","15.2",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-20","2.5",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0","T,,W,",,,"2.8",",,W","-2.7",",,W",,,"  310",",,W","  290",",,W","6.3",",,W","9.8",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-21","2.7",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"2.2",",,W","-3.2",",,W",,,"  310",",,W","   10",",,W","6.7",",,W","10.3",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-22","2.9",",,W",,,"0.3",",,W,2400","5.0",",,W,","0.0",",,W,",,,"-1.0",",,W","-6.0",",,W",,,"   50",",,W","   30",",,W","7.2",",,W","9.8",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-23","7.0",",,W",,,"58.7",",,W,2400","693.0",",,W,","150.0",",,W,",,,"-2.7",",,W","-4.3",",,W",,,"   30",",,W","   40",",,W","11.2",",,W","19.2",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-24","2.6",",,W",,,"0.0","T,,W,2400","0.0","T,,W,","560.0",",,W,",,,"1.7",",,W","-6.6",",,W",,,"   10",",,W","   20",",,W","7.6",",,W","12.5",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-25","1.5",",,W",,,"0.0",",,W,2400","0.0",",,W,","480.0",",,W,",,,"3.9",",,W","-2.1",",,W",,,"  190",",,W","  180",",,W","4.0",",,W","7.6",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-26","2.9",",,W",,,"0.0",",,W,2400","0.0",",,W,","430.0",",,W,",,,"8.9",",,W","3.3",",,W",,,"  230",",,W","  250",",,W","7.2",",,W","13.0",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-27","3.0",",,W",,,"0.0","T,,W,2400","0.0",",,W,","230.0",",,W,",,,"8.3",",,W","1.1",",,W",,,"  290",",,W","  320",",,W","6.7",",,W","11.2",",,W",,,,,,,,,,,,,,
